DATE,TIME,実績(万kW)
2015 2 8,14 00,3566
2015 2 8,15 00,3499
2015 2 8,16 00,3541
2015 2 8,17 00,3860
2015 2 8,18 00,3991
2015 2 8,19 00,3981
2015 2 8,20 00,3912
2015 2 8,21 00,3762
2015 2 8,22 00,3519
2015 2 8,23 00,3285
2015 2 9,0 00,3033
2015 2 9,1 00,2898
2015 2 9,2 00,2843
2015 2 9,3 00,2818
2015 2 9,4 00,2853
2015 2 9,5 00,3086
2015 2 9,6 00,3599
2015 2 9,7 00,3963
2015 2 9,8 00,4243
2015 2 9,9 00,4381
2015 2 9,10 00,4315
2015 2 9,11 00,4237
2015 2 9,12 00,3922
2015 2 9,13 00,3954
2015 2 9,14 00,3916
2015 2 9,15 00,3940
2015 2 9,16 00,4126
2015 2 9,17 00,4422
2015 2 9,18 00,4525
2015 2 9,19 00,4439
2015 2 9,20 00,4322
2015 2 9,21 00,4183
2015 2 9,22 00,4009
2015 2 9,23 00,3763
2015 2 10,0 00,3462
2015 2 10,1 00,3267
2015 2 10,2 00,3153
2015 2 10,3 00,3079
2015 2 10,4 00,3089
2015 2 10,5 00,3337
2015 2 10,6 00,3864
2015 2 10,7 00,4140
2015 2 10,8 00,4247
2015 2 10,9 00,4241
2015 2 10,10 00,4069
2015 2 10,11 00,3939
2015 2 10,12 00,3648
2015 2 10,13 00,3756
2015 2 10,14 00,3712
2015 2 10,15 00,3707
2015 2 10,16 00,3877
2015 2 10,17 00,4198
2015 2 10,18 00,4294
2015 2 10,19 00,4209
2015 2 10,20 00,4115
2015 2 10,21 00,3985
2015 2 10,22 00,3881
2015 2 10,23 00,3703
2015 2 11,0 00,3437
2015 2 11,1 00,3260
2015 2 11,2 00,3132
2015 2 11,3 00,3040
2015 2 11,4 00,3007
2015 2 11,5 00,3099
